variant,measure,section,n_quantiles,lag_months,n_months,mean_ann_pct,vol_ann_pct,sharpe,t_mean_nw,max_drawdown_pct,hit_rate,alpha_FF5+MOM,t_FF5+MOM,sharpe_net,sharpe_common_sample
jac_1a|q5|lag0,jac,1a,5,0,211,-0.0455,9.0427,-0.0050,-0.0211,-35.5327,0.5213,-0.0093,-0.0043,-0.0382,0.0401
jac_1a|q5|lag1,jac,1a,5,1,210,0.3121,8.5964,0.0363,0.1539,-38.0233,0.5048,0.4877,0.2321,0.0011,0.0272
jac_1a|q5|lag2,jac,1a,5,2,209,0.5212,8.4646,0.0616,0.2573,-35.3551,0.5072,0.4441,0.2084,0.0256,0.0722
jac_1a|q10|lag0,jac,1a,10,0,211,-1.9040,11.2129,-0.1698,-0.7144,-41.8987,0.5308,-1.0727,-0.4627,-0.2031,-0.1297
jac_1a|q10|lag1,jac,1a,10,1,210,-1.0997,11.1474,-0.0987,-0.3989,-43.1508,0.5190,-0.0712,-0.0278,-0.1328,-0.1097
jac_1a|q10|lag2,jac,1a,10,2,209,-1.9249,11.0017,-0.1750,-0.7329,-52.0718,0.4833,-0.9044,-0.3699,-0.2097,-0.1761
jac_7|q3|lag0,jac,7,3,0,214,-6.0423,9.5421,-0.6332,-2.1425,-68.8538,0.4346,-5.9243,-2.1310,-0.6577,-0.4976
jac_7|q3|lag1,jac,7,3,1,213,-6.1209,9.3796,-0.6526,-2.2221,-67.1844,0.4554,-6.4453,-2.2639,-0.6786,-0.5442
jac_7|q3|lag2,jac,7,3,2,212,-4.8856,8.7886,-0.5559,-2.0341,-62.4311,0.4481,-5.1456,-1.9897,-0.5840,-0.5318
jac_7|q5|lag0,jac,7,5,0,214,-10.0212,12.1181,-0.8270,-2.7410,-84.8045,0.4112,-9.2727,-2.5740,-0.8498,-0.6975
jac_7|q5|lag1,jac,7,5,1,213,-9.0965,12.1596,-0.7481,-2.5391,-79.9974,0.4319,-8.9109,-2.4147,-0.7718,-0.6726
jac_7|q5|lag2,jac,7,5,2,212,-7.3841,11.3134,-0.6527,-2.4101,-74.0260,0.4340,-7.0568,-2.1451,-0.6784,-0.6526
jac_7|q10|lag0,jac,7,10,0,211,-11.9471,16.0153,-0.7460,-2.4684,-88.0600,0.4218,-10.0097,-2.3486,-0.7654,-0.6187
jac_7|q10|lag1,jac,7,10,1,210,-10.4178,15.4540,-0.6741,-2.4978,-84.5894,0.4095,-9.3050,-2.3508,-0.6951,-0.5912
jac_7|q10|lag2,jac,7,10,2,209,-8.7140,15.0729,-0.5781,-2.2270,-81.2889,0.4211,-7.9449,-2.0555,-0.5986,-0.5463
